ID,Best Practice,Category,Description,Bad example,Good example,Source
0,Limit capabilities,Security,"You can enhance the security of Docker containers by modifying capabilities. Using the --cap-drop option, you can remove specific capabilities, and with the --cap-add option, you can add only the ones you need. It's important to avoid running containers with the --privileged flag, as this grants all Linux kernel capabilities to the container. The most secure setup is to drop all capabilities with --cap-drop all and then add only the required ones.The --privileged flag provides all capabilities to the container to which it is applied, and also lifts all the limitations enforced by the device cgroup controller. As a  consequence this the container has most of the rights of the underlying host. This flag only exists to allow for specific use cases (for example running Docker within Docker) and should not generally be used",🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html

CIS Docker Benchmark

https://medium.com/@imsrv01/why-you-should-avoid-using-the-latest-tag-on-container-images-5212f3af10cb "
1,Prevent in-container privilege escalation,Security,Always run your docker images with --security-opt=no-new-privileges in order to prevent privilege escalation. This will prevent the container from gaining new privileges via setuid or setgid binaries.,🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
2,Be mindful of Inter-Container Connectivity,Networking,"ICC is enabled by default, allowing all containers to communicate with each other through the docker0 bridged network. Instead of using the --icc=false flag with the Docker daemon, which completely disables inter-container communication, consider defining specific network configurations. This can be achieved by creating custom Docker networks and specifying which containers should be attached to them. This method provides more granular control over container communication.",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
3,Limit resources (maximum number of processes),Security,"Limiting the maximum number of processes (nproc) that a container can run is a security measure to prevent excessive use of system resources. If a container can create an unlimited number of processes, it could cause a Denial of Service (DoS) by exhausting system resources, such as memory and CPU time, that may be needed by other containers or the host operating system itself. By setting a limit on the number of processes, you control the amount of system resources that a container can consume, providing greater system stability and security.",🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
CIS Docker Benchmark
https://docs.docker.com/config/containers/resource_constraints/#limit-a-containers-access-to-memory"
4,Set filesystem to read-only,Security,The rule of using a read-only filesystem for containers is a best practice that improves security by reducing the possibility that a container can write to disk unauthorizedly. This can prevent attacks and unwanted changes to container data.,🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
CIS Docker Benchmark
"
5,Set volumes to read-only,Security,"Setting volumes as read-only is a critical practice for ensuring container security, integrity, and performance. By protecting data from accidental or malicious changes, you reduce the risk of compromise and ensure more predictable and stable operation of containerized applications.",🔗,🔗,https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html
6,Utilize Docker Secrets for Sensitive Data Management,Security,"Docker Secrets provide a secure way to store and manage sensitive data such as passwords, tokens, and SSH keys. Using Docker Secrets helps in avoiding the exposure of sensitive data in container images or in runtime commands.",🔗,🔗,"https://cheatsheetseries.owasp.org/cheatsheets/Docker_Security_Cheat_Sheet.html

CIS Docker Benchmark"
7,Ensure that the 'on-failure' container restart policy is set to '5' ,Security,"Continuously attempting to restart a container can potentially lead to a denial of service on the host system. This behavior can facilitate a distributed denial of service attack, especially if multiple containers are running on the same host. Moreover, ignoring the container's exit status and always attempting to restart it without investigation can prevent understanding the underlying issue causing the container to terminate. Instead of indefinitely restarting the container, it is advisable to use the ""on-failure"" restart policy, limiting the number of restart attempts to a maximum of five. This approach encourages investigating the root cause of the container termination, rather than merely trying to restart it repeatedly.",🔗,🔗,Best_Practices_Sicurezza_E_Ottimizzazioni
8,Do Not Share the Host’s Network Namespace,Security,"Using the --net=host option causes a container to share the network namespace with the host. This means that the container uses the host's network interface directly, bypassing the network isolation typically provided by Docker. There are several reasons for not sharing the host's network namespace: 
- Network isolation: By default, Docker creates an isolated network for each container. This isolation protects the container and host from potential network vulnerabilities. If a container shares the host's network (--net=host), it loses this isolation.
- Security: If a container is compromised, the attacker can directly access the host's network and potentially attack other services and containers.
- Port conflicts: By using --net=host, the services inside the container share the same ports as the host. This can cause port conflicts if multiple services use the same port.
- Visibility and management: The network isolation provided by Docker makes it easier to manage and monitor containers. With --net=host, it can be more difficult to trace network traffic and diagnose problems.",🔗,🔗,"Best_Practices_Sicurezza_E_Ottimizzazioni
CIS Docker Benchmark"
9,A Container Must Not Mount the host's priviledged ports,Security,A Container Must Not Mount the host's priviledged ports,🔗,🔗,Container_Image_Creation_and_Deployment_Guide
