ID,Best Practice,Category,Description,Bad example,Good example,Source
0,SSH server daemon disabled ,Networking,"Running SSH within the container increases the complexity of security management by 
making it 
• Difficult to manage access policies and security compliance for SSH server 
• Difficult to manage keys and passwords across various containers 
• Difficult to manage security upgrades for SSH server 
It is possible to have shell access to a container without using SSH, the needlessly 
increasing the complexity of security management should be avoided. 
You should SSH into the Docker host, and use docker exec to enter a container.",🔗,🔗,"Container_Image_Creation_and_Deployment_Guide
CIS Docker Benchmark
https://jpetazzo.github.io/2014/06/23/docker-ssh-considered-evil/"
1,Container image executed as non-root user,Security,Docker allows to share a directory between the Docker host and a guest container  without limiting the access rights of the container. This means that a user can start a  container and map the / directory on the host to the container. The container would  then be able to modify the host file system without any restrictions. This means that  a user could gain elevated privileges simply by being a member of the docker group and  subsequently start a container which maps the root / directory on the host. ,🔗,🔗,"Docker Security - OWASP Cheat Sheet Series
Docker documentation
CIS Docker Benchmark"
2,Removing setuid and setgid permissions on executables,Security,"The container image must have permissions removed from executables that allow
a user to execute software at higher privileges.",🔗,🔗,"building-secure-docker-images
DevSecOps_Enterprise_Container_Image_Creation_and_Deployment_Guide
CIS Docker Benchmark"
3,Use absolute paths for WORKDIR,Security,"Using WORKDIR with absolute paths makes the Dockerfile clearer and more understandable. Additionally, relative paths can cause problems if the working context changes between different commands. Using WORKDIR ensures that all subsequent commands are executed in the right context, without depending on directory changes made in previous commands. Finally, complex commands like RUN cd ... && do-something can become difficult to read and maintain.",🔗,🔗,Building best practices | Docker Docs
4,Avoid sudo command,Security,"Avoid installing or using sudo as it has unpredictable TTY and signal-forwarding behavior that can cause problems. If you absolutely need functionality similar to sudo, such as initializing the daemon as root but running it as non-root, consider using “gosu”.",🔗,🔗,https://docs.docker.com/build/building/best-practices/#user
5,Delete the apt-get lists after installing something,Security,"- Image Size Reduction: When you run the apt-get update command, the system downloads a list of available packages and stores it in the /var/lib/apt/lists directory. This package cache, if not removed, remains in the final image, unnecessarily increasing its size. Removing the cache files after installing packages reduces the size of the Docker image, making it lighter and faster to download and deploy.
- Layer Optimization: Docker creates a new layer for each RUN command. If you clear the cache in a separate RUN command than installing packages, the cache remains in the previous layer, making the cleanup ineffective in terms of reducing the overall size of the image. Running the cleanup in the same RUN command ensures that the cache data was never persisted in a separate layer, so it does not affect the final size of the image.
- Security and Maintainability: Keeping the apt cache only as fresh as necessary reduces the risk of using outdated packages. It also ensures that each build of the Dockerfile starts with a fresh package cache, ensuring that the packages installed are the latest versions available at build time.",🔗,🔗,https://docs.docker.com/build/building/best-practices/#apt-get
6,The Container Image Must Only Expose Non-Privileged Ports,Networking,"Privileged ports (below 1024) can only be accessed by privileged users (e.g., root) on Linux. Running a container as a privileged user poses a security risk, as it can perform any privileged action on the host if compromised. To safely handle services that typically use privileged ports, such as a web server on port 80, map the privileged port to an unprivileged port within the container (e.g., map port 80 to port 8080). It can be done either in command line or in docker-compose.yml file.
Exception:  HTTP and HTTPS load balancers have to bind 80/tcp and 443/tcp respectively. Forbidding to map privileged ports effectively forbids from running those in a container, and mandates using an external load balancer. ",🔗,🔗,"Container_Image_Creation_and_Deployment_Guide
CIS Docker Benchmark"
7,The Container Image Must Be Built With a Process Health Check,Security,"To ensure service availability, Docker's `HEALTHCHECK` instruction can be added to a container image. This allows the container platform to periodically verify the container's functionality. If the container is not working, the platform can stop it and start a new instance to maintain service availability. Short-lived containers that don't need health checks can be exempted.",🔗,🔗,"Container_Image_Creation_and_Deployment_Guide
CIS Docker Benchmark"
8,Always tag the version of an image explicitly.,Security,"Specificity and Control: Specifying an explicit version of an image ensures that the Dockerfile always uses the same version as the base image. This is important to ensure that the container build is reproducible and consistent. If you just use the image name without specifying the version (like debian), Docker will use the latest available version (known as latest), which may change over time.",🔗,🔗,"Best_Practices_Sicurezza_E_Ottimizzazioni
CIS Docker Benchmark"
9,No confidential data in build fields .1,Security,"When container images are created with private or classified data stored within the build file, the data can be backtracked easily by using native commands for the container platform or by using various external tools. These build files are often shared, and without removal of the confidential data, would become exposed and potentially exploited. The credentials must be kept externally, fetched by the application, and not stored in the container image. If the credentials are stored within the container image, anyone with access to the image can parse the credentials.",🔗,🔗,Container_Image_Creation_and_Deployment_Guide
