distro,package,version,modified_date
edge,py3-elftools,0.29-r1,2022-11-22
edge,ruby-minitest,5.15.0-r1,2022-07-26
edge,cups-libs,2.4.2-r4,2023-02-22
edge,squid-lang-sl,5.7-r0,2022-10-14
edge,nginx-mod-http-upstream-fair,1.22.1-r0,2022-10-19
edge,readline-dev,8.2.1-r0,2023-03-01
edge,distcc-pump,3.4-r4,2023-01-22
edge,freetype-static,2.13.0-r2,2023-02-12
edge,libnetfilter_queue-dev,1.0.5-r1,2021-09-05
edge,djbdns-doc,1.05-r49,2022-09-28
edge,perl-parse-syslog-doc,1.10-r6,2020-09-21
edge,ipset-doc,7.17-r0,2022-12-31
edge,lua5.3-sqlite,0.9.5-r4,2021-01-14
edge,hunspell,1.7.2-r2,2023-02-26
edge,yash,2.54-r0,2023-03-08
edge,libxt-dev,1.3.0-r0,2023-04-09
edge,mtx,1.3.12-r3,2022-07-02
edge,openldap-overlay-remoteauth,2.6.4-r1,2023-04-04
edge,freeswitch-sangoma,1.10.8-r4,2023-02-11
edge,postfix-stone,3.7.4-r0,2023-01-23
edge,uwsgi-alarm_curl,2.0.21-r1,2022-11-22
edge,mesa-gl,23.0.2-r1,2023-04-09
edge,pinentry-tty,1.2.1-r0,2022-08-25
edge,lua-ldap,1.3.1-r0,2023-03-21
edge,font-bitstream-100dpi-doc,1.0.4-r0,2023-02-28
edge,lmdb-doc,0.9.30-r1,2023-03-07
edge,libedit-doc,20221030.3.1-r0,2022-11-08
edge,imlib2-dev,1.11.0-r0,2023-03-11
edge,perl-x10,0.04-r5,2022-10-24
edge,ncurses-static,6.4_p20230401-r2,2023-04-09
edge,lua-lub,1.1.0-r3,2021-01-14
edge,perl-data-hexdump-doc,0.04-r0,2021-04-04
edge,perl-parse-yapp,1.21-r2,2022-10-24
edge,kamailio-db,5.6.3-r2,2023-02-10
edge,libepoxy-dev,1.5.10-r0,2022-05-15
edge,re2c,3.0-r0,2022-05-30
edge,atop-doc,2.8.1-r0,2023-01-08
edge,libmaxminddb-dev,1.7.1-r0,2022-10-01
edge,squid-lang-de,5.7-r0,2022-10-14
edge,dpkg-doc,1.21.21-r0,2023-02-27
edge,py3-asn1,0.4.8-r3,2022-11-22
edge,apache-mod-auth-kerb,5.4-r8,2020-10-02
edge,perl-error,0.17029-r1,2020-09-21
edge,inih-dev,56-r0,2022-07-16
edge,gnu-efi,3.0.15-r2,2023-03-10
edge,kea-hook-flex-option,2.2.0-r8,2023-03-12
edge,harfbuzz-static,7.1.0-r0,2023-03-03
edge,perl-test-leaktrace-doc,0.17-r2,2022-06-08
edge,m4-doc,1.4.19-r2,2022-12-19
edge,xmlrpc-c-tools,1.51.08-r1,2022-10-14
edge,lcms2-dev,2.15-r0,2023-03-02
edge,cfdisk,2.38.1-r5,2023-02-22
edge,asterisk-openrc,18.15.1-r0,2023-03-16
edge,ack,3.7.0-r0,2023-02-28
edge,gtk-doc,1.33.2-r3,2022-08-06
edge,xz-static,5.4.2-r0,2023-03-19
edge,perl-class-inspector-doc,1.36-r2,2020-09-21
edge,libstdc++,12.2.1_git20220924-r9,2023-02-04
edge,pgpool,4.3.3-r0,2022-09-07
edge,lua5.2-discount,1.2.10.1-r7,2022-10-25
edge,musl-nscd-openrc,1.1.1-r2,2023-01-05
edge,tzdata,2023c-r0,2023-03-29
edge,utmps-libs,0.1.2.1-r0,2023-01-14
edge,harfbuzz-doc,7.1.0-r0,2023-03-03
edge,tzdata-utils,2023c-r0,2023-03-29
edge,postfix-doc,3.7.4-r0,2023-01-23
edge,boost1.81-doc,1.81.0-r1,2022-12-23
edge,kamailio-extras,5.6.3-r2,2023-02-10
edge,libnetfilter_cthelper-dev,1.0.1-r1,2023-02-26
